t,r2
1.010000000000000000e+02,9.999984563146032679e-01
1.020000000000000000e+02,9.999949039426087039e-01
1.030000000000000000e+02,9.999897614644457366e-01
1.040000000000000000e+02,9.999831366364297924e-01
1.050000000000000000e+02,9.999750673247825850e-01
1.060000000000000000e+02,9.999655683921199190e-01
1.070000000000000000e+02,9.999546295525815198e-01
1.080000000000000000e+02,9.999422654132995580e-01
1.090000000000000000e+02,9.999284289262101444e-01
1.100000000000000000e+02,9.999130348823599412e-01
1.110000000000000000e+02,9.998960918607294746e-01
1.120000000000000000e+02,9.998777047718153677e-01
1.130000000000000000e+02,9.998586196421096473e-01
1.140000000000000000e+02,9.998386778551419107e-01
1.150000000000000000e+02,9.998172337264018550e-01
1.160000000000000000e+02,9.997946859401360964e-01
1.170000000000000000e+02,9.997712628977946103e-01
1.180000000000000000e+02,9.997474250456698242e-01
1.190000000000000000e+02,9.997230728892719798e-01
1.200000000000000000e+02,9.996984075370609624e-01
1.210000000000000000e+02,9.996734554370412251e-01
1.220000000000000000e+02,9.996481642665713263e-01
1.230000000000000000e+02,9.996225979248581917e-01
1.240000000000000000e+02,9.995967745771381363e-01
1.250000000000000000e+02,9.995706596004881872e-01
1.260000000000000000e+02,9.995442251442034909e-01
1.270000000000000000e+02,9.995173829905229512e-01
1.280000000000000000e+02,9.994902091276030021e-01
1.290000000000000000e+02,9.994627105790608868e-01
1.300000000000000000e+02,9.994348642212678158e-01
1.310000000000000000e+02,9.994065715967577201e-01
1.320000000000000000e+02,9.993778592483613110e-01
1.330000000000000000e+02,9.993486407340889111e-01
1.340000000000000000e+02,9.993189564618311094e-01
1.350000000000000000e+02,9.992888966058099953e-01
1.360000000000000000e+02,9.992585395405971793e-01
1.370000000000000000e+02,9.992278894781255749e-01
1.380000000000000000e+02,9.991969781578907694e-01
1.390000000000000000e+02,9.991658251752502107e-01
1.400000000000000000e+02,9.991343155109041474e-01
1.410000000000000000e+02,9.991024083513813103e-01
1.420000000000000000e+02,9.990700839103802133e-01
1.430000000000000000e+02,9.990373718750493737e-01
1.440000000000000000e+02,9.990042128173844960e-01
1.450000000000000000e+02,9.989706185503006708e-01
1.460000000000000000e+02,9.989365316048690602e-01
1.470000000000000000e+02,9.989020575298586113e-01
1.480000000000000000e+02,9.988672743257951403e-01
1.490000000000000000e+02,9.988322808837204470e-01
1.500000000000000000e+02,9.987970539117179136e-01
1.510000000000000000e+02,9.987616723966795673e-01
1.520000000000000000e+02,9.987261812868449828e-01
1.530000000000000000e+02,9.986905548937966559e-01
1.540000000000000000e+02,9.986547575424946643e-01
1.550000000000000000e+02,9.986187347423811644e-01
1.560000000000000000e+02,9.985823818547298059e-01
1.570000000000000000e+02,9.985457119123490877e-01
1.580000000000000000e+02,9.985086405643124330e-01
1.590000000000000000e+02,9.984711807109638571e-01
1.600000000000000000e+02,9.984333441692891942e-01
1.610000000000000000e+02,9.983953639117977286e-01
1.620000000000000000e+02,9.983571883803693536e-01
1.630000000000000000e+02,9.983188628036708812e-01
1.640000000000000000e+02,9.982803751372817391e-01
1.650000000000000000e+02,9.982415308179116709e-01
1.660000000000000000e+02,9.982023592242252885e-01
1.670000000000000000e+02,9.981627262004056922e-01
1.680000000000000000e+02,9.981225031865186281e-01
1.690000000000000000e+02,9.980812064998402233e-01
1.700000000000000000e+02,9.980381439349286232e-01
1.710000000000000000e+02,9.979929204242817820e-01
1.720000000000000000e+02,9.979446734424426424e-01
1.730000000000000000e+02,9.978921419695908623e-01
1.740000000000000000e+02,9.978335564133545832e-01
1.750000000000000000e+02,9.977674203376052375e-01
1.760000000000000000e+02,9.976947418991020111e-01
1.770000000000000000e+02,9.976231071945428353e-01
1.780000000000000000e+02,9.975683579063924222e-01
1.790000000000000000e+02,9.975439338043907700e-01
1.800000000000000000e+02,9.975467428121029823e-01
1.810000000000000000e+02,9.975565095253573489e-01
1.820000000000000000e+02,9.975557929006499958e-01
1.830000000000000000e+02,9.975424186843437901e-01
1.840000000000000000e+02,9.975193057674237584e-01
1.850000000000000000e+02,9.974898835315101353e-01
1.860000000000000000e+02,9.974567568455382505e-01
1.870000000000000000e+02,9.974212550682138856e-01
1.880000000000000000e+02,9.973845972404148386e-01
1.890000000000000000e+02,9.973476616295511299e-01
1.900000000000000000e+02,9.973109625813980639e-01
1.910000000000000000e+02,9.972748432688512965e-01
1.920000000000000000e+02,9.972392667828464674e-01
1.930000000000000000e+02,9.972043186887794564e-01
1.940000000000000000e+02,9.971698010400186218e-01
1.950000000000000000e+02,9.971355519619327090e-01
1.960000000000000000e+02,9.971014739657524384e-01
1.970000000000000000e+02,9.970674963442835992e-01
1.980000000000000000e+02,9.970334720223892333e-01
1.990000000000000000e+02,9.969993457787638125e-01
2.000000000000000000e+02,9.969647936934659116e-01
2.010000000000000000e+02,9.969296883124820763e-01
2.020000000000000000e+02,9.968939145897572907e-01
2.030000000000000000e+02,9.968572730621561018e-01
2.040000000000000000e+02,9.968198032573711842e-01
2.050000000000000000e+02,9.967814130556407193e-01
2.060000000000000000e+02,9.967422829068890433e-01
2.070000000000000000e+02,9.967028144883062213e-01
2.080000000000000000e+02,9.966635870297269051e-01
2.090000000000000000e+02,9.966251566849125831e-01
2.100000000000000000e+02,9.965879638330469303e-01
2.110000000000000000e+02,9.965523353642073978e-01
2.120000000000000000e+02,9.965185531530537100e-01
2.130000000000000000e+02,9.964865308799609744e-01
2.140000000000000000e+02,9.964563104157321272e-01
2.150000000000000000e+02,9.964274178844734209e-01
2.160000000000000000e+02,9.963992939319349373e-01
