t,r2
1.010000000000000000e+02,9.999978040630347342e-01
1.020000000000000000e+02,9.999922640296886600e-01
1.030000000000000000e+02,9.999837709457757295e-01
1.040000000000000000e+02,9.999725231202235554e-01
1.050000000000000000e+02,9.999586893999385939e-01
1.060000000000000000e+02,9.999424301096789813e-01
1.070000000000000000e+02,9.999238882420123931e-01
1.080000000000000000e+02,9.999032302485126866e-01
1.090000000000000000e+02,9.998805812417654870e-01
1.100000000000000000e+02,9.998560870491717267e-01
1.110000000000000000e+02,9.998298531837205294e-01
1.120000000000000000e+02,9.998019832591531486e-01
1.130000000000000000e+02,9.997725323393209518e-01
1.140000000000000000e+02,9.997415721638459596e-01
1.150000000000000000e+02,9.997092436660691694e-01
1.160000000000000000e+02,9.996756760779635931e-01
1.170000000000000000e+02,9.996412608373891340e-01
1.180000000000000000e+02,9.996066257574699465e-01
1.190000000000000000e+02,9.995716985523507292e-01
1.200000000000000000e+02,9.995358227122150829e-01
1.210000000000000000e+02,9.994994399315609845e-01
1.220000000000000000e+02,9.994627634499039237e-01
1.230000000000000000e+02,9.994248021155216488e-01
1.240000000000000000e+02,9.993848792644652868e-01
1.250000000000000000e+02,9.993434283172580868e-01
1.260000000000000000e+02,9.993005685348479439e-01
1.270000000000000000e+02,9.992563660773279288e-01
1.280000000000000000e+02,9.992111374814457436e-01
1.290000000000000000e+02,9.991650863679618633e-01
1.300000000000000000e+02,9.991183095000224501e-01
1.310000000000000000e+02,9.990705406110457210e-01
1.320000000000000000e+02,9.990213117085985361e-01
1.330000000000000000e+02,9.989701384663371986e-01
1.340000000000000000e+02,9.989168045539672525e-01
1.350000000000000000e+02,9.988612580887755721e-01
1.360000000000000000e+02,9.988038044980747099e-01
1.370000000000000000e+02,9.987448976992820970e-01
1.380000000000000000e+02,9.986851717805751427e-01
1.390000000000000000e+02,9.986251257364833211e-01
1.400000000000000000e+02,9.985652347004304596e-01
1.410000000000000000e+02,9.985060511634062941e-01
1.420000000000000000e+02,9.984478262853953012e-01
1.430000000000000000e+02,9.983908059118726808e-01
1.440000000000000000e+02,9.983351584552276892e-01
1.450000000000000000e+02,9.982807253005344661e-01
1.460000000000000000e+02,9.982271064034768937e-01
1.470000000000000000e+02,9.981736222052174368e-01
1.480000000000000000e+02,9.981196232108865418e-01
1.490000000000000000e+02,9.980643230035406432e-01
1.500000000000000000e+02,9.980068700041992980e-01
1.510000000000000000e+02,9.979462776992021888e-01
1.520000000000000000e+02,9.978818114858142296e-01
1.530000000000000000e+02,9.978129070435122205e-01
1.540000000000000000e+02,9.977392631351628127e-01
1.550000000000000000e+02,9.976608350100923950e-01
1.560000000000000000e+02,9.975776511360362475e-01
1.570000000000000000e+02,9.974900116371656633e-01
1.580000000000000000e+02,9.973980905805209796e-01
1.590000000000000000e+02,9.973018554900271448e-01
1.600000000000000000e+02,9.972011928774023870e-01
1.610000000000000000e+02,9.970959051214527413e-01
1.620000000000000000e+02,9.969854065104034602e-01
1.630000000000000000e+02,9.968691166854296570e-01
1.640000000000000000e+02,9.967467655001349680e-01
1.650000000000000000e+02,9.966182639205942717e-01
1.660000000000000000e+02,9.964837431810493751e-01
1.670000000000000000e+02,9.963439678507404196e-01
1.680000000000000000e+02,9.961999684528515253e-01
1.690000000000000000e+02,9.960536025331183652e-01
1.700000000000000000e+02,9.959066881837401741e-01
1.710000000000000000e+02,9.957612230620125349e-01
1.720000000000000000e+02,9.956187194390061501e-01
1.730000000000000000e+02,9.954796215834534889e-01
1.740000000000000000e+02,9.953436216153043192e-01
1.750000000000000000e+02,9.952094608650419172e-01
1.760000000000000000e+02,9.950749918499682822e-01
1.770000000000000000e+02,9.949374925766351074e-01
1.780000000000000000e+02,9.947960540957029307e-01
1.790000000000000000e+02,9.946538089349243883e-01
1.800000000000000000e+02,9.945168450725553333e-01
1.810000000000000000e+02,9.943919410565749128e-01
1.820000000000000000e+02,9.942875417688312734e-01
1.830000000000000000e+02,9.942012668952664445e-01
